24 S 1354	
533490.0194	8557936.075
533490.4972	8557936.403
533491.8587	8557937.249
533492.2084	8557937.448
533534.1475	8557960.752
533534.6127	8557961.004
533602.1472	8557996.646
533831.6284	8558120.91
533831.6674	8558120.931
533945.4649	8558182.287
534022.8249	8558224.141
534214.4215	8558328.21
534214.4286	8558328.214
534402.2636	8558430.16
534402.2811	8558430.17
534642.2206	8558560.143
534642.5386	8558560.312
534749.6075	8558616.291
534846.8086	8558673.163
534846.9314	8558673.235
534848.01	8558673.822
534923.7108	8558712.606
535006.2467	8558762.915
535123.2996	8558850.436
535193.9659	8558916.144
535217.1425	8558937.694
535313.1159	8559028.15
535313.6763	8559028.662
535369.9444	8559078.495
535370.034	8559078.574
535371.2734	8559079.591
535371.623	8559079.855
535418.12	8559114.231
535419.0736	8559114.901
535419.776	8559115.354
535478.8246	8559151.96
535479.4836	8559152.354
535480.8975	8559153.11
535481.294	8559153.301
535544.3103	8559182.982
535545.3742	8559183.453
535546.1544	8559183.76
535603.2675	8559205.158
535665.4477	8559231.714
535665.6945	8559231.817
535666.1232	8559231.99
535792.1002	8559281.409
535792.2193	8559281.455
535908.5458	8559326.389
535991.2119	8559367.898
536071.1148	8559415.687
536170.2734	8559482.094
536352.359	8559606.612
536535.4865	8559732.143
536740.636	8559873.509
536740.6479	8559873.517
536863.601	8559958.136
536975.6535	8560035.505
536975.7572	8560035.576
537105.5303	8560124.2
537194.6737	8560192.705
537247.6076	8560244.284
537298.0752	8560302.206
537331.1369	8560348.158
537385.9949	8560438.803
537488.1223	8560612.042
537488.1616	8560612.108
537663.26	8560906.998
537711.4289	8560989.804
537711.4865	8560989.903
537824.1048	8561181.444
537824.1666	8561181.548
537958.3953	8561407.275
537958.4049	8561407.291
538109.6508	8561661.194
538109.6709	8561661.228
538258.5648	8561910.271
538336.2494	8562042.56
538336.2913	8562042.632
538472.4894	8562272.787
538472.5296	8562272.854
538656.2886	8562581.117
538839.408	8562889.593
538993.8795	8563150.482
538993.9291	8563150.566
539165.714	8563438.091
539342.213	8563736.077
539342.2254	8563736.098
539385.3055	8563808.667
539385.317	8563808.687
539515.8663	8564028.138
539676.2801	8564297.734
539745.3164	8564414.179
539745.5978	8564414.642
539799.0599	8564500.434
539828.988	8564554.732
539829.227	8564555.156
539829.5469	8564555.694
539850.7255	8564590.303
539858.0625	8564603.537
539870.8745	8564626.644
539876.2217	8564641.709
539882.4173	8564659.164
539882.871	8564660.345
539883.5326	8564661.805
539884.2884	8564663.219
539885.1343	8564664.58
539890.9342	8564681.775
539896.0534	8564699.185
539900.4838	8564716.783
539904.2185	8564734.542
539907.2519	8564752.434
539909.5792	8564770.431
539911.1969	8564788.506
539912.1023	8564806.631
539900.8881	8564848.268
539900.8799	8564848.299
539900.8143	8564848.549
539888.0994	8564898.087
539879.777	8564925.971
539879.5885	8564926.637
539879.4959	8564926.993
539867.3887	8564975.054
539867.3857	8564975.066
539846.7139	8565057.304
539831.1264	8565111.085
539825.3569	8565129.129
539808.9259	8565172.616
539786.8712	8565219.972
539763.335	8565260.66
539725.788	8565322.3
539678.394	8565399.296
539678.3522	8565399.364
539639.9011	8565462.291
539639.891	8565462.308
539597.7849	8565531.338
539588.9794	8565545.708
539588.8888	8565545.857
539566.6864	8565582.674
539566.4491	8565583.076
539566.0051	8565583.879
539556.7342	8565601.424
539556.4224	8565602.034
539555.7608	8565603.494
539555.6834	8565603.683
539541.9928	8565637.531
539541.5962	8565638.169
539540.8404	8565639.583
539540.1788	8565641.043
539539.614	8565642.543
539539.1486	8565644.078
539538.8592	8565645.278
539538.3718	8565646.589
539537.9064	8565648.124
539537.5424	8565649.685
539537.2812	8565651.267
539537.1241	8565652.862
539537.1047	8565653.454
539531.5623	8565679.281
539531.4877	8565679.642
539531.2265	8565681.224
539531.0694	8565682.819
539531.0546	8565683.063
539527.846	8565740.832
539527.8272	8565741.228
539525.5857	8565798.238
539525.5841	8565798.28
539523.4096	8565856.134
539520.7316	8565917.377
539520.7195	8565917.703
539516.7341	8566048.839
539514.4603	8566116.575
539514.4599	8566116.588
539511.5937	8566203.265
539504.8119	8566396.356
539504.81	8566396.411
539499.4083	8566560.592
539499.4475	8566563
539499.4722	8566563.34
539502.8717	8566606.081
539503.0042	8566607.336
539503.2654	8566608.918
539503.3699	8566609.416
539512.2899	8566649.85
539512.5495	8566650.913
539512.8714	8566652.011
539522.6217	8566682.606
539522.7652	8566683.042
539523.3299	8566684.542
539523.9916	8566686.003
539524.1866	8566686.39
539539.6753	8566716.446
539539.9084	8566716.887
539552.213	8566739.615
539565.9688	8566766.829
539569.4303	8566773.677
539569.6744	8566774.216
539570.3192	8566775.435
539570.967	8566776.633
539571.288	8566777.149
539666.4147	8566945.441
539712.6732	8567028.127
539712.6899	8567028.157
539752.6108	8567099.282
539775.4024	8567140.072
539802.8943	8567190.044
539823.8015	8567232.089
539836.8095	8567265.451
539847.2238	8567300.017
539850.6395	8567322.178
539855.833	8567380.543
539860.1975	8567479.542
539860.1986	8567479.567
539863.8217	8567559.861
539866.0454	8567610.285
539866.0523	8567610.431
539874.1513	8567772.154
539874.1556	8567772.237
539879.3536	8567869.435
539881.1005	8567915.335
539881.1148	8567915.656
539887.6432	8568043.214
539890.5362	8568103.227
539890.5377	8568103.258
539899.224	8568278.824
539885.5509	8568280.758
539872.0099	8568283.466
539858.6449	8568286.94
539845.4992	8568291.169
539832.6154	8568296.139
539820.0352	8568301.834
539807.7993	8568308.235
539795.9474	8568315.322
539784.5178	8568323.072
539773.5476	8568331.459
539763.0724	8568340.457
539753.126	8568350.036
539743.7406	8568360.166
539734.9468	8568370.813
539726.7728	8568381.943
539719.2453	8568393.52
539712.3886	8568405.507
